Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
300,2007,adaptation,60,51,56,89,71,18,80,-25,action,"period, action",70885301,70.89,210614939,210.61,245.45,245453242,456068181,456,53.82%,65,701.64%,109.05%,,,http://www.amazon.co.uk/dp/B00EU7O4D8?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21,,,,,"Mar 9, 2007"
3:10 to Yuma,2007,remake,88,76,82,86,73,13,80,3,western,western,14035033,14.04,53606916,53.61,16.17,16173815,69780731,70,23.18%,50,139.56%,28.07%,,,http://www.amazon.co.uk/dp/B00I2CX91A?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21,,,,,"Sep 7, 2007"
30 Days of Night,2007,adaptation,50,53,52,56,65,-9,61,-9,horror,horror,15951902,15.95,39568996,39.57,35.53,35526091,75095087,75,47.31%,32,234.67%,49.85%,,,http://www.amazon.co.uk/30-Days-night-Josh-Hartnett/dp/B00FYN9UZO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385592&sr=1-1&keywords=30+Days+of+Night,,,,,"Oct 19, 2007"
Across the Universe,2007,original screenplay,54,56,55,82,73,9,78,-23,musical,musical,3824988,3.82,24343673,24.34,5.02,5023470,29367143,29,17.11%,45,65.26%,8.50%,,,http://www.amazon.co.uk/Across-Universe-Sturgess-Evan-Rachel/dp/B00I3R3PNQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385603&sr=1-1&keywords=Across+the+Universe,,,,,"Oct 12, 2007"
Alien vs. Predator - Requiem,2007,sequel,14,29,22,31,45,-14,38,-17,sci-fi,"sci-fi, horror",10059425,10.06,41797066,41.80,87.09,87086650,128883716,129,67.57%,40,322.21%,25.15%,,,http://www.amazon.co.uk/Aliens-Vs-Predator-John-Ortiz/dp/B00FYJ2744/ref=sr_1_sc_1?s=instant-video&ie=UTF8&qid=1457385617&sr=1-1-spell&keywords=AAlien+vs.+Predator+-+Requiem,,,,,"Dec 25, 2007"
Alvin and the Chipmunks,2007,adaptation,26,39,33,65,55,10,60,-28,comedy,"family, comedy",44307417,44.31,217326974,217.33,143.14,143138914,360465888,360,39.71%,70,514.95%,63.30%,,,http://www.amazon.co.uk/Alvin-Chipmunks-Jason-Lee/dp/B00FYJ5MPK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385629&sr=1-1&keywords=Alvin+and+the+Chipmunks,,,,,"Dec 14, 2007"
American Gangster,2007,based on a true story,80,76,78,87,75,12,81,-3,crime,"crime, drama",43565135,43.57,130164645,130.16,137.74,137737769,267902414,268,51.41%,100,267.90%,43.57%,,,http://www.amazon.co.uk/American-Gangster-Denzel-Washington/dp/B00FYPFJUC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385641&sr=1-1&keywords=American+Gangster,,,,,"Nov 2, 2007"
Bee Movie,2007,original screenplay,52,54,53,53,64,-11,59,-6,animation,animation,38021044,38.02,126631277,126.63,160.49,160492289,287123566,287,55.90%,150,191.42%,25.35%,,,http://www.amazon.co.uk/Bee-Movie-Jerry-Seinfeld/dp/B00FZUFLD6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385654&sr=1-1&keywords=bee+movie,,,,,"Nov 2, 2007"
Beowulf,2007,original screenplay,71,59,65,50,63,-13,57,9,animation,animation,27515871,27.52,82195215,82.20,114.07,114068876,196264091,196,58.12%,150,130.84%,18.34%,,,http://www.amazon.co.uk/Beowulf-Ray-Winstone/dp/B00ET07UK0/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1457385663&sr=1-2&keywords=Beowulf,,,,,"November 16, 2007"
Blades of Glory,2007,original screenplay,69,64,67,68,70,-2,69,-3,comedy,"sports, comedy",33014202,33.01,118594548,118.59,27.11,27114094,145708642,146,18.61%,61,238.87%,54.12%,,,http://www.amazon.co.uk/BLADES-GLORY-Will-Ferrell/dp/B00FYOG2SQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385676&sr=1-1&keywords=Blades+of+Glory,,,,,"March 30, 2007"
